actinic-keratosis-face-21,4,indeterminate - pre-cancerous,actinic keratosis,actinic keratosis,-,actinic keratosis,actinic keratosis
actinic-keratosis-face-28,4,indeterminate - pre-cancerous,actinic keratosis,actinic keratosis,-,actinic keratosis,actinic keratosis
actinic-keratosis-lesion-12,4,indeterminate - pre-cancerous,actinic keratosis,actinic keratosis,-,actinic keratosis,actinic keratosis
actinic-keratosis-lesion-13,4,indeterminate - pre-cancerous,actinic keratosis,actinic keratosis,-,actinic keratosis,actinic keratosis
actinic-keratosis-lesion-15,4,indeterminate - pre-cancerous,actinic keratosis,actinic keratosis,-,actinic keratosis,actinic keratosis
actinic-keratosis-lesion-16,4,indeterminate - pre-cancerous,actinic keratosis,actinic keratosis,-,actinic keratosis,actinic keratosis
actinic-keratosis-lesion-17,4,indeterminate - pre-cancerous,actinic keratosis,actinic keratosis,-,actinic keratosis,actinic keratosis
actinic-keratosis-lesion-18,4,indeterminate - pre-cancerous,actinic keratosis,actinic keratosis,-,actinic keratosis,actinic keratosis
actinic-keratosis-lesion-19,4,indeterminate - pre-cancerous,actinic keratosis,actinic keratosis,-,actinic keratosis,actinic keratosis
actinic-keratosis-lesion-20,4,indeterminate - pre-cancerous,actinic keratosis,actinic keratosis,-,actinic keratosis,actinic keratosis
actinic-keratosis-lesion-21,4,indeterminate - pre-cancerous,actinic keratosis,actinic keratosis,-,actinic keratosis,actinic keratosis
actinic-keratosis-lesion-23,4,indeterminate - pre-cancerous,actinic keratosis,actinic keratosis,-,actinic keratosis,actinic keratosis
actinic-keratosis-lesion-26,4,indeterminate - pre-cancerous,actinic keratosis,actinic keratosis,-,actinic keratosis,actinic keratosis
actinic-keratosis-lesion-27,4,indeterminate - pre-cancerous,actinic keratosis,actinic keratosis,-,actinic keratosis,actinic keratosis
actinic-keratosis-lesion-28,4,indeterminate - pre-cancerous,actinic keratosis,actinic keratosis,-,actinic keratosis,actinic keratosis
actinic-keratosis-lesion-29,4,indeterminate - pre-cancerous,actinic keratosis,actinic keratosis,-,actinic keratosis,actinic keratosis
actinic-keratosis-lesion-3,4,indeterminate - pre-cancerous,actinic keratosis,actinic keratosis,-,actinic keratosis,actinic keratosis
