d2bac3c9e4499032ca8e9b07c7d3bc40,1,benign,dermatofibroma,dermatofibroma,-,dermatofibroma,dermatofibroma / fibrous lesions
67ac5bbaeb3f15071e74a36f64270aef,1,benign,dermatofibroma,dermatofibroma,-,dermatofibroma,dermatofibroma / fibrous lesions
bb18c8800c62e37bd21641ad30aa3982,2,benign,nevocytic nevus,nevocytic nevus,-,melanocytic / benign nevus,benign melanocytic nevus
81c007db8cc1bc57cb08bcc00dda653b,6,malignant,superficial spreading melanoma ssm,superficial spreading melanoma ssm,-,melanoma,melanoma
9838b6548e7842a1c228e9548a32099c,5,malignant,basal cell carcinoma,basal cell carcinoma,-,basal cell cancer,basal cell carcinoma
c3833afba496feeb4153ed76ff2da85d,5,malignant,basal cell carcinoma,basal cell carcinoma,-,basal cell cancer,basal cell carcinoma
58e7594f5727cdfc362cf5b071520a1f,1,benign,dermatofibroma,dermatofibroma,-,dermatofibroma,dermatofibroma / fibrous lesions
a42224fcf640f0bca5a7564b9792495a,7,malignant,squamous cell carcinoma,squamous cell carcinoma,-,squamous cell cancer,squamous cell carcinoma (invasive)
67af6e2923e52eff436a013572b7088b,2,benign,halo nevus,halo nevus,-,melanocytic / benign nevus,benign melanocytic nevus
5de18144953b0dcf774605ae4a9c65c3,7,malignant,squamous cell carcinoma,squamous cell carcinoma,-,squamous cell cancer,squamous cell carcinoma (invasive)
c18ef5d1ddaa5651b201046f079f1607,1,benign,dermatofibroma,dermatofibroma,-,dermatofibroma,dermatofibroma / fibrous lesions
521bec867654c32d592f32f9256c5704,5,malignant,basal cell carcinoma,basal cell carcinoma,-,basal cell cancer,basal cell carcinoma
fc00af3afd475aa7679fe83be88b4b8e,7,malignant,squamous cell carcinoma,squamous cell carcinoma,-,squamous cell cancer,squamous cell carcinoma (invasive)
4159e2236b2119f9c8aa39623aab4a84,5,malignant,solid cystic basal cell carcinoma,solid cystic basal cell carcinoma,-,basal cell cancer,basal cell carcinoma
ee0cca6b53ab15d28e448031f01d4d0f,2,benign,halo nevus,halo nevus,-,melanocytic / benign nevus,benign melanocytic nevus
f08034a69a57680dbe4521f6e913ba22,5,malignant,basal cell carcinoma,basal cell carcinoma,-,basal cell cancer,basal cell carcinoma
2e096f75543e315d8cf1ccf1ae45ce6a,4,indeterminate - pre-cancerous,actinic keratosis,actinic keratosis,-,actinic keratosis,actinic keratosis
2004c88f0aba56122257c4f71e67c719,6,malignant,malignant melanoma,malignant melanoma,-,melanoma,melanoma
af52bb1087469cc110332783dd328d6a,5,malignant,solid cystic basal cell carcinoma,solid cystic basal cell carcinoma,-,basal cell cancer,basal cell carcinoma
c0d87b8dc5b8419b85c8fa07517007fd,7,malignant,squamous cell carcinoma,squamous cell carcinoma,-,squamous cell cancer,squamous cell carcinoma (invasive)
c8f1c03a90e5a0ead446526bbfc8e86a,5,malignant,solid cystic basal cell carcinoma,solid cystic basal cell carcinoma,-,basal cell cancer,basal cell carcinoma
22f13657c4a6b4a3fc6ea06d313c3725,6,malignant,melanoma,melanoma,-,melanoma,melanoma
becab807bbe933d1a5e84f378dfc083f,6,malignant,superficial spreading melanoma ssm,superficial spreading melanoma ssm,-,melanoma,melanoma
407d41dc4b0e9e0fddd2fe5a4e155986,6,malignant,malignant melanoma,malignant melanoma,-,melanoma,melanoma
